country_iso3,country_name,indicator_id,indicator_label,pathway,theme,risk_measure,variable,unit,higher_is_worse,year,value,source_name,source_dataset,source_url,retrieved_at
SOM,Somalia,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2021,25.4958867319859,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
SOM,Somalia,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2022,19.1940121461162,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
SOM,Somalia,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2023,20.4271063911805,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2000,14.2038969932145,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2001,23.077938021502,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2002,25.740058424552,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2003,24.7315189151666,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2004,24.027486718281,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2005,18.552797814906,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2006,23.5708468349824,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2007,26.9633965948771,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2008,30.9467917627197,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2009,32.8119866638672,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2010,23.5270312112438,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2011,20.3989989604367,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2012,15.3537338845774,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2013,17.7321057055876,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2014,16.0793165068583,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
